wallet_address,transaction_count,avg_value,max_value,std_value,transaction_frequency,active_time_span,large_transaction_ratio,burst_activity,incoming_outgoing_ratio,label
34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseo,10,1.5118999999999999e-05,6.66e-05,2.0154005284310116e-05,0.2097352602113034,47.679155092592595,0.2,0.1,10.0,0
1Ez69SnzzmePmZX3WpEzMKTrcBF2gpNQ55,10,6.08e-06,7e-06,6.029925372672535e-07,0.032027516836095775,312.2315117708333,0.0,0.2,10.0,1
